B-AD,The Master's in Business podcast is brought to you by Invesco
O,and if we hadn't had the generosity of New York and California taxpayers respectively pick us up by the scruff of our neck and fling us forward into opportunity . You would neither you nor I would be here right now .
O,So let's talk about that a sec because it touches on both the credentials and your mom .
O,I love this story from the book
O,you've gotten . You had gotten rejected by UCLA and your mother kicked you in the button says reapply
O,right .
O,I just got rejected three months ago .
O,Doesn't matter reapply opinion .
O,You write to them .
O,I'm a native son of California raised by an immigrant single mother who is a secretary .
O,If you don't let me in . I'm going to be installing shelving for the rest of my life .
O,My parents both dropped out of school or were taken out of school when they were 13 to work for their families in London and Glasgow and they came here and either I could either live at home or go to UCLA or I wasn't going to college .
O,We just don't have the money for that .
O,And people say well the world is your oyster you can do anything in America .
O,No I wasn't .
O,I didn't know I didn't have that confidence we didn't have money .
O,There was just I just I find that the downside of a meritocracy and capitalism is that we assume anybody can be anything and if you're not successful you're a loser you screwed up because we live in a society supposedly where anyone could do anything .
O,And my dad who is well-meaning but not what I'd call you know a very worldly guy said You don't need college I'm guiding I'm getting you a job installing shelving which by the way was going to be 18 bucks an hour which seemed like a lot of money to me and could fulfill my dream of getting a Z 28 or a transition which was the only goal I had at the age of at the age of 18
O,and my mom said you need to appeal to UCLA .
O,You have to go to college .
O,She was smart enough and the truth has a nice ring to it .
O,I literally said I'm letting me into I'm installing shelving and I remember the day they called me at home and this woman said you're a substandard student but you don't test well but you're a native son of California and we're going to let you in .
O,And I rewarded them with a two point two seven GPA from UCLA and then they took another chance on me and let me into grad school at Berkeley .
O,How did you get into Berkeley with mediocre grades .
O,So my my only saving grace is I'm an idiot savant with standardized tests .
O,Yeah .
O,So .
O,Or as my wife would say you're half of that .
O,Yeah I'm just an idiot when it comes to tight .
O,That's the way I'm half that but so I was able to get into grad school how did you get into Berkeley from UCLA with bad grades and bad tests .
O,Again generosity of woman named Fran Hill .
O,I know I had some positive
O,attributes I had finagled my way into Morgan Stanley
O,I had offers from several investment banks I interview well
O,I took a job with Morgan Stanley because I heard they didn't check transcripts and I lied about my grades
O,I heard they didn't drink or they don't check transcripts well they didn't back then and then some years and then a kid found out they found out a kid was accused of insider trading had never graduated from the University Illinois and they started checking your every strand service
O,anyways that was the benefit of an analog age is that you could you sure I was stuff like that and they also I heard they didn't drug tests which ended up being a lie but
O,anyways went to Morgan Stanley I was involved in a lot of activities I was an athlete at UCLA so I had some positive stuff but I remember them calling me and saying we we love your application but we think there's an error
O,it says that your GPA is two point to seven which keep in mind is not easy to do .
O,No that's it because if you get less than 2.0 you go out at academic probation and you go subject to dismissal
O,so you've got to get a bunch of d and then you gotta get above a 2.0 to reset the clock for two more semester .
O,Right .
O,So I came perilously close I was sleepwalking through life like a lot of 22 year olds to not getting into you know getting kicked out of UCLA .
O,But again Berkeley took a chance on me got my act together I think like you I was a bit of a late bloomer and you know started an upward spiral but if it hadn't been for the generosity and vision of California taxpayers and the regents of UC Berkeley we'll graduate more kids from low income households this year than the entire Ivy League combined seven of the tents amazing seven of the 10 universities with the greatest income diversity are all university or university California schools .
O,But in general I would argue that universities in the U.S. have lost the script see themselves as luxury brands .
O,We need to massively increase the number of seats we need to tax endowments if they don't grow their seats faster than inflation Stanford has tripled it has tripled the number of applicants
O,they haven't increased their freshman seats hardly at all
O,that is in my opinion a crime
O,the head of admissions at Harvard says we could have doubled our freshman class without sacrificing any quality 38 billion dollar endowment .
O,Well Boston why aren't you doing that .
O,This is literally become we have to get to a point where we're more like Canada where more kids have access to the greatest the greatest lubricant for upward mobility in the world .
O,And that is higher education .
O,And speaking of lubricants the higher education you've made a number of gifts to both Berkeley and NYU .
O,Tell us what motivated that .
O,Is that just gratitude and giving back .
O,You know I just pant did .
O,That was an easy one for me .
O,I was just an easy one .
O,I got really lucky .
O,And you know I just want that .
O,That was just easy .
O,If it hadn't been for unfortunately college is a lot more expensive now .
O,And that was just an obvious nod to two .
O,Again California taxpayers and the jewel of California the inner city California .
O,So that was just a overdue nod to to the University California .
O,So let's talk about luck cause it's a really I don't know call it a theme but it's a thread that runs through the book and it's worth exploring a little bit .
O,You reference how incredibly lucky you've been .
O,Mm hmm .
O,I've had numerous people sit in the seats that seat where you are .
O,And they've all said billionaires Nobel laureates . Masters in Business who have said you know but for a lucky break here or the way the Beyonce bowl bounce there I wouldn't be here today .
O,Well look it's easy to credit your character in your grip your successes in the markets for your failures .
O,I have no such delusions .
O,And it's not a humble brag .
O,It really is and it can be tiny switches in your DNA or the way you're born my wife .
O,I think I've talked about this with you .
O,My freshman roommate in the fraternity to be born in 1964 a white heterosexual male in the greater United States in the United States the greatest country in the world .
O,And in California which was about to experience the greatest increase in value and yet history there was more value creating a seven mile radius of SFO from 92 to 99 than all of Europe since World War 2 .
O,And I would just happen to be at the right place at the right time luckiest person in the world right .
O,A white guy heterosexual we had advantages that other people did not have and that's unfair .
O,But the reality was I was all of those things .
O,And so I got very lucky .
O,There was one other question I wanted to get to before some of our favorite questions and I have variations of our favorite questions all right .
O,2017 . You mentioned that you were selling assets you were moving to cash .
O,Have you still are you still in that stupid .
O,I was a reaction and I was angry about Trump's election and I got advice from you I was be in the market .
O,We can time the markets and I sought the motorists told me the same thing I went back in the markets and I thank God I did .
O,It's been an unbelievable ride up .
O,I do think there are certain canaries in the coal mine now .
O,I think when modestly talented 25 year olds are getting one hundred and fifty thousand dollars a year because they know how they know Python when midtown or downtown real estate and bad you know kind of marginal areas is getting 50 or 60 bucks a square foot you know it just
O,I see mediocre restaurants you can't get reservations at there's a certain I feel like we're late cycle let's say you feel that we're ready we're do .
O,So here's the interesting thing coming out of the financial crisis you tend to have a longer more modest . This is Ryan Reinhart and Rogoff research . You have a longer but more modest economic expansion .
O,So here we are .
O,The session ended technically 2009 2010 .
O,It's nine years later it's a pretty long run .
O,It's the longest ever .
O,I mean this is kind of it's bad news it's pretty close to it .
O,I mean you could you could go through earlier periods and post-war with two periods and find it although there were a lot of small recessions late 50s early 60s .
O,So we're the problem is it's such an artificial period with Fed stimulus et cetera et cetera .
O,It's if it's the longest one it's the longest one with an asterisk
O,although when you look around the world Australia went more than 25 years without a recession in the boom period of China's growth .
O,So that's kind of interesting isn't isn't all this basically our generation has gotten really smart .
O,I'm just on the tail of the baby boom
O,hasn't our generation just perfectly gamed the system and figured out a way to elect officials and basically said we want the greatest transfer in wealth ever occur it ever registered in history to be from every other cohort to baby boomers
O,so basically big tech is a vessel of the transfer of wealth from the entire world to the U.S. and then to the coasts and everything from Social Security to artificially suppressing interest rates to drive ups our asset values to Social Security to mortgage tax deduction to capital gains is nothing but a giant transfer of wealth from every cohort to baby boomers from the future pulled back the .
O,Let's listen .
O,So I would argue trillion in debt .
O,I would argue low unemployment you're technically not a baby boomer you're sort of in the valley between the boomers Gen X and Gen X like to me the baby boomers ended in 1959 .
O,If you were born in the 60s I'm 64 .
O,Your job so my sister was born 64 .
O,I get two and a half years on you .
O,You don't really feel like a baby boomer .
O,That's a whole different you
O,like . I don't relate to the boomers I kind of look at them askance but I also look at Gen X which is totally different thing than me .
O,But I think the boomers are the worst generation and I think history will bear that out .
O,The greatest generation .
O,Yeah absolutely .
O,And everything in my view we talk about there's a horn on I go on Fox once a week because I like to go behind enemy lines and they they came by the way I love watching you on that because they don't know what the hell to do with you you're clearly capitalism means you socialists you they you just sold L2 to Gartner last year you've sold how many companies have gone public or been purchased 3 4 .
O,Yeah I'm 3 4 and 2 .
O,OK .
O,So that's a great track right
O,now really .
O,Yeah .
O,Listen you know that's what's great about America's guys like me can survive .
O,I'd be in some sort of prison if I know
O,if you're a venture capitalist you're going to make 100 investments you're looking for the one home run 3 4 and 2 is a great track record for stop and think about how start startups fail .
O,Yeah well most of my questions is success is really resilient resilience so
O,there's a lot to that .
O,You keep mentioning grin but they don't know how to deal with you because you're you are a capitalist .
O,But you talk about empathy and about helping others and about things beyond mere money and they're perplexed by it .
O,Well it's it's so that they had this it was hilarious they had this socialism versus capitalism week on Fox and guess what . Capitalism won .
O,Go figure .
O,And so they invited me on .
O,And for some reason they also introduced me as a socialist .
O,And I like those guys .
O,So Stuart Varney and Neil Cavuto I think that really Lou great .
O,I know you're really intelligent investing guys and they're generous to me they're nice to me I really like the people over there despite being in sort of a you know them spinning up hate on a regular basis .
O,Right .
O,Other than that hate based business model they're fantastic .
O,But I'm writing and I'm going to need your help on this AMERICAN article for The Economist or I'm claim to be writing an article and they on on capitalism and socialism is nothing but OK the means of production controlled by the state and divvied up by and the spoils divvied up tariffs are socialist of course artificially suppressing interest rates or socially imperative of telling telling an air conditioning company to locate in Michigan is socialist child labor laws are socialist .
O,Capital gains tax cuts .
O,Socialist .
O,So you me and the president walk into a bar two of us are capitalists .
O,The president is a socialist and just about the entire reimbursing farmers who supported him against Chinese tariffs .
O,How is that anything but social .
O,I mean we're really going off script now but you look at the .
O,I initially thought okay I'm a fan of actually going after China for unfair trade I believe that we have this unbelievable eco system where the greatest universities in the world trained some incredible human talent and in concert with incredible financial system we create innovation that's just unparalleled .
O,The Chinese then steal it rent and sell it back to us for 30 cents on the dollar .
O,So I am all for a trade war .
O,But here's the problem one we could have done it with partners and to the Chinese think in 20 or 30 year increments .
O,They're willing to shut down towns and say upstart you need to relocate .
O,The terrorists are bad we don't care .
O,Relocate it is what it is .
O,A farmer goes out of business and MSNBC is out there and the president is trying to bail them out .
O,We just don't have it's like fire .
O,It's like going to war with Russia .
O,You can have better tanks you can have better officers .
O,Their willingness to endure suffering is just going to it's just going to end badly for whoever invades them and I think the same is true of this trade war unfortunately .
O,So normally around now I would go to my favorite questions but you studied them so many times I had to come up with some new ones .
O,Variations I am so so let's let's underground this .
O,All right .
O,So normally around now I ask what you the first car you own but I'm going to ask what's the next car you're going to buy .
O,You know you're a car guy .
O,So I'm I'm in the midst of a midlife crisis that I think I'm gonna grow out of in about 30 or 40 years
O,right .
O,So I am by the car it's cheaper .
O,I got .
O,Okay .
O,That's right .
O,So I have a GM 550 I have a truck right now more than that .
O,Oh it's a make believe I have .
O,That's an amazing car .
O,I love like an old guy .
O,Is it our thing .
O,I roll up bits of baby I look so German and so interesting in that car .
O,Well we know on TV most like cars .
O,Yeah I mean cars .
O,So I mean yes they you know they just redesigned it .
O,And when you look at it you can't unless they're side by side you can even tell a fantastic change .
O,I have the model X the Tesla .
O,I don't like electric .
O,I like I just don't like the feel of it .
O,I like an internal combustion engine .
O,It's a great car .
O,I don't enjoy it I don't like it .
O,By the way go on YouTube .
O,Watch the videos of the model exploding Ferraris and Lamborghini .
O,No it's .
O,It is a superior car .
O,But Elon Musk called a cave diver trying to save young people's lives a pedophile and I went on CNBC the next day and I announced I was selling it .
O,So I have to sell the thing right .
O,And by the way the depreciation on those bad words is significant .
O,Enormous .
O,So I said Okay I gotta get another car and you merely weighed in and said and I'm thinking I want to get a range rover because I'm all about signaling my worth as a manager and as a mate .
O,So I need to find some ridiculously overpriced
O,you have the g wagon so I would picture you in the HSC l 550 not the G Wagon .
O,Oh I think you stupid car .
O,That's what I thought you were talking about rides twinkly theology .
O,Also you have the little rubber Joe lumbar support you .
O,I immediately assumed you went G Wagon on on on that .
O,I'm not sick I'm insecure but I'm not pathetic .
O,That's that's what I'm always back against I miss that .
O,That's right .
O,That's literally like .
O,Okay .
O,I'd say German military if I need to find a way to spend more money than owning a hummer .
O,Right .
O,That's right .
O,I own a get the AMG version of it .
O,It's like two hundred and twenty thousand totally ridiculous .
O,So so the GM writes you I'm asking you a question you know me pretty well
O,yeah .
O,What's my next car .
O,Pick it pick it .
O,So what's my name .
O,So you're you're a dual city .
O,Yeah right .
O,Yeah you did floor to me .
O,I don't see how you don't have a 9/11 convertible to hell .
O,Dude I can't fit in a porch .
O,I'm serious there and I have buddies with 6 6 who do modelling .
O,I am not a players guy probably I am not a problem but I do not fit into sports I have an elbow out each window .
O,OK .
O,How does a ridiculous car .
O,It's a beautiful car .
O,I don't think it's beautiful it's just a very fast and good handling car .
O,That's not a .
O,You want a pretty car go buy a Bentley goodbye .
O,I'm not a smart guy .
O,All right .
O,So then what is what is the big dog role and .
O,Come on .
O,So I have an M6 convertible that's m 6 .
O,Now me just explain his .
O,Dick you let me just explain Zoe .
O,I'm also a cheap S.O. B so I won't go out and spend a hundred that's called not having kids .
O,You don't have kids I have kids I have .
O,I have a house I have 5 cars and a boat but all that aside I bought this car off of lease from Indianapolis right .
O,A pristine condition .
O,Yeah and I paid labor the guy that used to surf to the recycler when you're a teenager .
O,No I said no .
O,Well look at cause Sure .
O,All right .
O,Now you back to me whack Hardaway by Sarah .
O,Sell a car master's in business .
O,What car do I get .
O,See I Frustrated professor angry range rover HSC boy . Is that so I should do is now understand Range Rovers are wildly overpriced totally right .
O,They lease out terribly they purchase terribly .
O,They're not known for their mill for their mechanical roller Range Rover HSC .
O,But if you want to signal that you're single I'm in the US .
O,I mean that's the way to go .
O,Yeah .
O,Even though I can give you a million reasons why no one should buy that car .
O,But the signaling to show your worthiness to take care of Sarah you get me .
O,I you really do .
O,Even though you should be in some cute little sports car .
O,I'll see you in a family or anything .
O,So in the book I discovered a fascinating thing about one of your mentors .
O,Your mentor taught the exact same class in marketing and branding that you teach
O,my cat classes based on David Walker's course father modern branding
O,didn't know what I wanted to do as we referenced before business school is mostly for the elite and the aim was that people who want out of the profession are an idea .
O,I didn't know what I wanted to do .
O,I just knew I didn't wanna go back to investment banking took the second year class of David Walker .
O,He talked about the importance of yellow and how intangibles created more shareholder value than any other any other system or contract in history .
O,He really kind of identified and encapsulated the brand era and I thought this is what I want to do with my life .
O,And I went to him and said I'm starting a consulting firm based on your principles called profit .
O,I'd like you to join you said no way I'm not interested in working with you your second year student but long story short in profit ultimately was sold was
O,Yeah we get to 400 people it's still around today .
O,I think it's about 500 people now sold it down so tremendously rewarding and ultimately David did join as vice chairman .
O,But you know what do you want when you go to school you want to find someone who inspires you and sets you off on a career that is rewarding personally and economically and I got that from David Walker .
O,So around now I asked the book question .
O,Tell me about your favorite books .
O,But we've done that a read on that .
O,Yes I'm to ask you a different book .
O,Yeah .
O,Different book question .
O,Tell me about a book that changed the direction of your life .
O,It's weird .
O,He just died actually
O,I read my first kind of real novel was in high school and it's not that dramatic I read a book by Hermann Wood called the winds of war
O,sure .
O,And just learning about big thick book in book and just learning about World War 2 and you know what it was probably the kind of the defining conflict of our century and what different groups around the learning about the Holocaust it just sort of got me thinking about things I had never thought about and sort of changed got me interested in history . I mentioned war history so that for me was sort of my kind of first adult book if you will .
O,So you are an open book and you reveal yourself warts and all .
O,I'm an open book very .
O,But tell us something we don't know about Scott Galloway .
O,Is there anything we don't know that's pretty much lay it all out there .
O,I was the Bruin bear mascot my sophomore year at UCLA .
O,I know that when I won most comical in junior high school in junior high school junior high school Paul .
O,Most comical
O,I don't know they voted for that guy right .
O,And Steve Martin that's I'm aging myself .
O,I got Steve Wait wait wait .
O,And since then I haven't had a single award .
O,Wait .
O,Steve Martin you know they do .
O,Do you remember in high school in junior high they would do you know and just to give you with the age and die score I got Steve Martin .
O,That was my thing in the high school . Paul
O,Oh so most likely to be like Steve you are not a nut .
O,I went to school with Steve Martin .
O,No no .
O,Who I think is a decade or so older .
O,For sure .
O,So tell us what you do for fun outside of class outside of school usually holding on to a fiberglass chair
O,pretty pretty boring .
O,Not that interesting you know time and kids a lot of Netflix you are watching on Netflix .
O,My new favorite show is I mean I'm like everyone else I'm obsessed with Game of Thrones I think Veep is the best rated show on TV even you play the new show that I love is fleabag which may or may not have heard .
O,Who's the person who wrote fleabag wrote something else .
O,Oh really .
O,I'm trying to remember what it was .
O,I haven't started fleabag it's outstanding and also killing Eve is really wonderful .
O,Really .
O,Yeah .
O,So every Thursday night I do the same thing I commute between her and Florida .
O,I go home .
O,I take Iran I come back I put my kids to bed I vape with my wife I'm finally competent enough to say that .
O,Mm hmm .
O,And then we watch television .
O,So I think the key I think the defining art form of this age is television .
O,You know we are in the Golden Age of Television
O,hundred percent .
O,I'm going to give you three recommendation .
O,Go for it .
O,One of them I don't know if you're going to like you like sci fi at all .
O,Lay it on me Barry
O,The Expanse
O,The Expanse
O,macular .
O,Where's that .
O,So the expanse there's TV I don't know about it's either networks or Amazon .
O,So the expanse takes place in the not too distant future .
O,You have three political powers you have earth .
O,Yeah you have Mars and then you have the the belts out where the miners are out pulling stuff off .
O,Anyway fashioning science fiction really kind of interest you watch the terror .
O,I don't know if you are .
O,I watch Ridley Scott there and I love Ridley Scott the terror and one of the last yeah phantom Black Mirror and Electric Dreams is another .
O,Okay so all right .
O,But the two hands I want to share with you .
O,Have you started seeing on Netflix . I'm sorry
O,I haven't as I grace its self picture .
O,If I had to sum it up in 30 seconds .
O,Female comedy writer married with a little girl
O,picture a female version of Curb Your Enthusiasm .
O,Not as nasty but more of a sitcom funny .
O,Yeah very very good .
O,And the new one I just started the new one I just started watching with Christina Applegate dead to me .
O,That's good .
O,Really really is so along those lines watch Ricky Jr. versus new series already went through .
O,Fantastic .
O,That's life .
O,Something like that if that life for whatever really strong .
O,All right .
O,Our last two question yes .
O,And the problem I can't ask you the advice you'd give . You have a millennial because your whole book is advice to millennials .
O,What advice do you wish you got when you got out of college that nobody told you
O,it's going to everything's gonna be OK .
O,I was insecure I admit in the book there they're they've survey seniors on what piece of advice they would give themselves to their younger selves and consistently it comes back and it's sort of the same advice
O,they wish their one wish and their advice themselves is they wish they'd been less hard on themselves .
O,Go easy on yourself and that is look at lifespan you're going to screw up and bring forgiveness .
O,I mean one of the keys to long term relationships is forgiveness .
O,It's difficult to maintain a long term relationship unless you assume the other person is gonna occasionally screw up and you need to bring forgiveness to the relationship and you also need to bring that to yourself and be a little late because in the moment it seems like a big deal .
O,But if again the one piece of advice seniors would give themselves they wish they hadn't been so hard on themselves .
O,So it's gonna be you know it's going to be OK
O,quite fascinating .
O,Scott Galloway this has been absolutely delightful .
O,And you saw the range rover and I saw the red write in HSC .
O,Be sure to get with the upgraded package that stops and does the Lena Vaughn's warning and I'm not a fan of that car but that's got your name written all over it .
O,You know a dog .
O,We have been speaking with NYU Stern School of Business professor Scott Galloway author of The Algebra of happiness .
O,If you enjoy this conversation well look up an ancient noun an inch on Apple . I Tunes overcast stitcher Spotify wherever finder podcasts are sold and you can see any of the previous 250 or so conversations we've had over the past five years .
O,We love your comments feedback and suggestions .
O,Write to us at MIB podcast at Bloomberg dot net .
O,Be sure and hit the Like button that you might see on whatever site you're on .
O,Give us a review .
O,I would be remiss if I did not thanks the crack crew that helps put this podcast together each week
O,Madina PA wana is my task master slash producer
O,Michael Boyle is our booker .
O,Michael Batt Nick is our head of research a teacup Val Brun is our project director .
O,I'm Barry Ritholtz .
O,You've been listening to masters in business on Bloomberg Radio .
B-AD,The Master's in Business podcast is brought to you by Invesco
I-AD,everyday at Invesco we bring together ideas with technology data with inspiration and investors with solutions .
E-AD,Let's invest in greater possibilities together find out more at Invesco dot.com slash together .
