B-AD,On eBay .
I-AD,"Oh , guys , it's free ."
I-AD,So I don't know why you read that's it .
I-AD,That's it .
I-AD,That's that's the whole thing .
I-AD,Free .
I-AD,There's that's it .
I-AD,"So guys , honey is a free browser extension that you hook up to your computer ."
I-AD,You download it .
I-AD,It's free .
I-AD,"And then every single time you guys go to check out and buy something , could be Pizza Hut , could be Nordstrom ."
I-AD,"Anything under the bucketed , they are going to automatically apply coupons from all over the Internet ."
I-AD,It scans it finds the best deals and applies it .
I-AD,And then you save a lot of money .
I-AD,"Guys , I was buying makeup ."
I-AD,You're buying dildos .
I-AD,You don't have to buy buying DOZ .
I-AD,"I heard her , but it was makeup ."
I-AD,It wasn't a dildo .
I-AD,He tells me I'm getting .
I-AD,I did end up saving .
I-AD,I think it was like 20 something dollars on an order of 100 bucks .
I-AD,Yeah .
I-AD,For free .
I-AD,For free .
I-AD,So you guys go to join honey dot com slash daddy .
I-AD,That's join honey dot com slash daddy .
I-AD,You guys need to try it .
E-AD,It's literally passing up free money if you don't call him daddy .
O,Do I call her daddy ?
O,Call her daddy .
O,We're going to let you guys interpret that however you want .
O,"Moving on , moving on ."
O,"We are in a really deep , dark mental state ."
O,"Unwell , unwell ."
O,It's Alex and Sophia back at it .
O,All right .
O,"For the second time , actually , today , it's call her dad ."
O,Call her daddy .
O,I think it was last week or two weeks ago we uploaded our episode and the sound quality was complete shit .
O,So we had to throw that in the garbage and rerecord it .
O,This week we went to upload our episode .
O,"I felt really , really good about it , only to see that the file said zero bites b y t ."
O,Yes .
O,What does that mean ?
O,I don't fucking know .
O,Guys recording literally for the Zygon time today and it is like I can't explain the pain when I took out the SD card and I put it into my little editor .
O,I went to start editing this audio and I said .
O,"While my audio is there , but Sophia's somehow Sophia's audio lumper , no , I didn't I swear on my microphone ."
O,"Because this puts me through pain , too , that I had to redo this ."
O,So we're literally about to have to rerecord another episode .
O,"And it's like , I don't want to let it out on them ."
O,No .
O,"Like , I can't help but be fresh snow ."
O,This is gonna be a complete different bosox .
O,I can't fuckin sit here and say the same shit for another two hours .
O,No .
O,So we're just gonna have to really go with this one .
O,It hurt .
O,I can't even explain it .
O,No podcast for two hours .
O,"And then you look and it's like , yes , Alex's podcast it alone ."
O,Whereas Sofia .
O,"And the other thing is like when we saw the zero bite file , we said , what is a zero bite file ?"
O,"We spent the next six , seven hours being like , no , no , no , no , no , no ."
O,We can retrieve this .
O,I was on the phone with Geek Squad .
O,We got on fucking up or we were trying to reach out to audio technician .
O,"We were putting up our own money and we were like , we will pay you four hundred dollars out of pocket if you can figure out what the fuck zero bite ."
O,Cause I don't fucking know .
O,"And yeah , nothing was recovered ."
O,So here we are back at it again for another motherfucking episode .
O,"Of course , daddy ."
O,But it's all right .
O,It's OK .
O,I'm losing it a little bit .
O,It's all right .
O,Your eyes are blood .
O,Thank you .
O,Thank you .
O,Alex is doing especially bad .
O,I'm not doing my best .
O,I'm dealing with a little thing I would like to call sleep paralysis .
O,Why is there a light ?
O,"I mean , there are windows ."
O,Okay .
O,I'm probably hallucinating .
O,"I am sleep paralysis when I sleep paralysis , Sofia ."
O,I'm going to take a quick nap .
O,You let them know .
O,So sleep paralysis is .
O,I've had it before .
O,It's a common phenomenon .
O,And what happens is you wake up in the middle of the night and you wake up completely petrified and you can't move your limbs and you can't make a sound .
O,Yeah .
O,And you're alive .
O,You lay there paralyzed and everyone experiences it a little bit differently .
O,"Like for some people , it's like there's an evil spirit like up above them levitating ."
O,Yeah .
O,"I mean , how is it for you ?"
O,"I literally last night or two nights ago , I woke up and there I believed was a man sitting on the edge of my bed , just staring at me , sleeping ."
O,And I was so fucking terrified .
O,"You guys paralyzed , couldn't move the whole thing ."
O,"And then for the next like now , few nights I haven't been able to sleep because of this terrifying feeling of , oh , my God , if I go back to sleep , is this gonna happen again ?"
O,Yeah .
O,"Sometimes what happens is if you regretting this , if you partake in partying like there are like drugs at the party and you decide to partake ."
O,Sometimes you will have sleep paralysis like a few days later .
O,"Well , I'm not on it like specifically MDMA ."
O,Like a couple to me .
O,I don't know .
O,Are you remix imperia .
O,I should all just help .
O,So it feels like .
O,So when I take MDMA literally like all fucking off my rocker a few days .
O,"If anyone's taking ecstasy or Molly , please be aware that this could happen anywhere ."
O,Disclaimer OK .
O,China's like that right by me .
O,"Okay , I'm over it ."
O,I'm fine .
O,But I will say I think a lot of people are having bad dreams right now .
O,Like very vivid dreams because of Corona .
O,I actually tweeted about that because I had a dream when I was asleep .
O,That all .
O,Have you ever had this dream ?
O,All of your teeth fall out ?
O,Yes .
O,I feel like everyone experiences that .
O,And I guess some guy wrote and told me that it's when you are experiencing extreme anxiety and going through a change either in a relationship or your job .
O,"And I guess obviously right now it applies to Corona , too ."
O,It's like the unknown .
O,So I guess .
O,"Well , actually , you reminded me of you ."
O,How are your dreams over ?
O,"So a few days ago , this is really weird ."
O,I had a dream that I was putting like living things in the microwave .
O,"And I woke up in the middle of the night like so scared and like , feeling horrible ."
O,You were putting living things and I like her waiting fuck is wrong .
O,What I remember is going on over there .
O,"From what I remember , I was putting like babies and like animals ."
O,"Guys , I know I woke up feeling bad ."
O,It was very strange .
O,I don't know what's going on .
O,"One day , I mean , I don't fuck with you anymore ."
O,That's weird .
O,"Anyway , anyways ."
O,So .
O,"So if you know we're thinking about this , we feel really bad ."
O,Yeah .
O,We feel really bad for all of the high school seniors and college seniors because we see a lot of you are not able to partake or grad school and graduation and all those fun senior week activities .
O,"Yeah , and it sucks ."
O,"And I think a lot of Europe said like I saw these daddy and girls were having prom on Xoom , like they're getting in their prom dresses and they're getting on zoomin ."
O,It fucking sucks .
O,"Yeah , but I just want to say , you know , having gone through high school and college and having made it out alive , I know it seems like the most important thing in your life right now ."
O,Goes on .
O,It's really not .
O,We've never really talked about .
O,Did you graduate high school ?
O,Are you fucking .
O,I'm not the type of person that would get their g._e._d numbers .
O,Anything wrong with that ?
O,But why do I think you got your g._e._d ?
O,The fact that you just looked me in my eyes and asked you if I graduated high school .
O,We never talk about high .
O,I barely graduate .
O,There you go .
O,There you go .
O,So you were to Jenny in high school ?
O,"Oh , I was ."
O,So .
O,Was that .
O,What kind of high school did you go to ?
O,I went to a private Catholic high school .
O,I went to a .
O,This was a fucking twist .
O,I went to a private boarding school .
O,"And I know people would look at me and be like , oh , you rich bitch ."
O,"No , absolutely fucking not ."
O,I got a scholarship to go there .
O,"I play soccer , which sounds weird to play sweet ."
O,So boarding school ?
O,"Yes , a boarding school ."
O,So like we had straight up boarders and day students and like people would like fuck in the dorms and shit .
O,"Oh , I was like a college in high school ."
O,I lived in the dorms in Ohio .
O,You would be Dell .
O,My you would all be with us .
O,I wouldn't know .
O,"So you graduated , but barely ."
O,I barely graduated in high school .
O,It was like it was the type of thing I started out with flying colours .
O,"Like I remember when I started out , I was like any PE classes ."
O,This is how bad it is .
O,I started high school .
O,"Two math classes advanced from my freshman year grade , my senior year of high school ."
O,"I was one behind of everybody else , I think ."
O,I don't even know about Hafid .
O,Huge drop off .
O,You really slid back .
O,You really .
O,You really went back .
O,"Yeah , that's great ."
O,So what about you ?
O,I I .
O,I didn't do great in high school either .
O,I remember my graduation specifically .
O,Our dean of students had just like been so done with me .
O,And I was missing my tassel for my cap and I was wearing the wrong gown .
O,And he just came up to me .
O,He was also so fucking hot .
O,"And he came up to me and was like , where's your tassel ?"
O,What is he ?
O,Are you wearing the wrong ?
O,I don't know .
O,I don't know .
O,"I , like , grabbed your sister ."
O,I don't remember .
O,I don't I know it's fucked up .
O,"And he just looked at me and was like , I don't care what you do anymore , Alex ."
O,Just fucking graduate .
O,Wow .
O,"I was like , oh , my God , I did not say he wanted ."
O,"Well , also kind of that ."
O,"Okay , so in college , what was your college situation ?"
O,Did you go to your college graduation ?
O,"I did it , but it wasn't like what everyone imagines it to be like ."
O,"I literally was like pissed the whole time I sat through the whole thing and I threw my diploma in the back of the car and is like , can we get my GED ?"
O,"Yeah , dude , college graduation , especially if you go to like a big university ."
O,I remember not wanting to go to mine .
O,I only went for my parents .
O,I actually barely graduated college too .
O,"Okay , good ."
O,That's another one .
O,Started off with flying colors .
O,"I started this amazing , wonderful college outside of San Francisco , California ."
O,Incredible .
O,Ended up at community college .
O,And you should so feel we love to see it .
O,Why ?
O,What happened ?
O,Too much degeneracy .
O,"Yeah , Jizo ."
O,I think I got like a ticket for underage drinking .
O,I don't fucking know .
O,Yeah .
O,"And your mom was like , come home ."
O,Yeah .
O,"She was like , I'm not paying this tuition ."
O,I think we had very different college experiences .
O,My college experience was like I couldn't get in .
O,I had to keep getting in trouble on the down low because obviously I would have lost my scholar .
O,Right .
O,I got in trouble .
O,I couldn't get an underage I couldn't like all that shit .
O,I will never forget I for a final exam .
O,"I was really struggling in this one class and I knew he was a huge fan of the teacher , the best one of the guy I was dating at the time and I was a professional athlete and I bribed him and I got him a signed ball and tickets ."
O,And in exchange for me to not have to take the final exam and for an A .
O,I like how how pathetic am I ?
O,"I feel like , come on ."
O,Hi .
O,"Come on , Alex ."
O,Slow .
O,"I showed up with a little bag and tickets and he's like , here it right , you fucking cunt ."
O,That's I think that might be the craziest thing I've ever heard come out of you .
O,But you've got to do what you gotta do .
O,Yeah .
O,Right .
O,"Now , that professor is probably getting fired ."
O,"No , like he's a great guy ."
O,"We still stay in touch , actually ."
O,"But then with the rest of my college experience , I know I have ."
O,"I have never talked about this , but ."
O,"Well , you know , but the daddy doesn't fully know my experience with college ."
O,I had a full scholarship to play Division 1 soccer at Boston University .
O,"You know , Brown Brownwood Brag ."
O,"I worked my whole life for it and I played only for 3 years , though , my senior year ."
O,"I got to keep my full scholarship , but I did not have to play and getting and ."
O,"Oh , no , no ."
O,That is a story for another day .
O,Okay .
O,"I was going to say like , why ?"
O,Why episode ?
O,I know .
O,No .
O,"Tell that story one day , but yeah ."
O,"So , I mean , anyone that college , high school life goes on ."
O,"I mean , look at us ."
O,"I mean , we almost flunked out of high school and college ."
O,Look at us now with the most degenerate podcaster .
O,Know we're like .
O,Show your parents us .
O,"Now , look at this ."
O,"They're like , no ."
O,That's the opposite of what we want our children to aspire .
O,"Know , we're like every parent's worst nightmare ."
O,"They're like doctor , lawyer , accountant , hard pastor ."
O,"No , no podcast ."
O,"Welcome back to the show , folks ."
O,"So I don't know , we just wanted to say shout out to all of you guys ."
O,Happy graduation .
O,Get fucked out with your parents .
O,Get fucked up on the other end .
O,Don't worry .
O,"You'll look back and you'll be like , what ?"
O,It's so much fun graduating on zoo .
O,"Oh , it's so depressing ."
O,All right .
O,Moving on .
O,People are getting horny .
O,Everybody is masturbating because we're staying at home and everybody is playing with themselves at home .
O,They are .
O,"And you know , you're going to play with yourself , with Adam and Eve ."
O,Adam and Eve .
O,"Guys , you know the drill ."
O,"They have all the sex toys , all the lube ."
O,Anything you can possibly imagine .
O,"Adam and Eve has for your sex life , whether you're fucking your partner , you're fucking yourself , Adam and motherfucking ."
O,There is a lot of masturbating going on .
O,"So Adam and Eve , right now , you can choose almost any one item for 50 percent off , 50 percent off mother fuckers ."
O,"Plus , when you do , you're gonna get 10 free gifts ."
O,Free again .
O,Free .
O,Yeah .
O,So you guys use offer code .
O,"Her daddy , that's her daddy at checkout ."
O,"Also , guys , they have thousands of products ."
O,So you guys can go shop around and see whatever you like .
O,"I know some girls you probably like don't if you don't have a vibrator , get like a starter ."
O,"Then if you guys are in into those anal beads , go get yourself some fucking anal beads ."
O,"Adam , you harm her daddy ."
O,Let's talk about let's talk about something else here .
O,A little something that's pretty spectacular .
O,Okay .
O,This is the thing .
O,This segment is for people that want to keep their love interest interested during quarantine .
O,"Yeah , that's what it is ."
O,"Yeah , that's a big problem , right ?"
O,"Big problem , for example ."
O,My cousin was talking to me actually about this the other day .
O,So my cousin met a guy at a bar that she really hit it off with a few days before .
O,And Shane and she's extremely picky .
O,So this was like a really big deal .
O,Okay .
O,"And now naturally , she's freaking out and she's calling me and she's asking me for advice on what the fuck to do right about this guy ."
O,"Which which I guess because your cousin's wondering , like , how do I keep this connection a lie right now for the foreseeable future ?"
O,"Like , we don't know and we'll never see another human again ."
O,Yeah .
O,She has no fucking idea what to do .
O,Right .
O,"And you know , what I want to say is I think a lot of people that are in the same boat are having the same anxiety ."
O,"And the problem is that because of the excited they're over doing , they're scared this person is gonna move on ."
O,And so they're like blowing up that person's phone and making sure that they're in constant contact with that person .
O,And that is the worst possible thing you can do right now .
O,The the word war .
O,"Yes , daddy ."
O,"Gang , if you take one thing from this episode , the worst ."
O,So .
O,"So , motherfuckers ."
O,"Well , the fuckin daddy did a lot of trial and error ."
O,And we did research extensively on My Lai .
O,He's using me as the guinea pig .
O,"And we believe that the answer and what you guys should be doing is disappearing , disappearing ."
O,And I know a lot of you are unhappy .
O,You just hearing that .
O,They're hearing that throwing their phone .
O,Yes .
O,Exciting .
O,Went through the roof .
O,A panic attack .
O,"Explain it to them , OK ."
O,I actually have an example from my past .
O,OK .
O,I remember it was a few years back .
O,I met this guy during Sundance .
O,"So for those of you don't know what that is , it's a film festival that they have in Utah ."
O,So it was the second I met him .
O,It was like fireworks .
O,We ended up spending I think it was like three nights .
O,Back to back to back together .
O,Did you find .
O,Colleagues don't kiss and tell you slight .
O,What ?
O,Tell us .
O,I did hold off until the second day .
O,You're like I held off for 24 hours and then it was go up and you please .
O,I'm OK .
O,So sex was great .
O,It was amazing .
O,Then he had to fly back to the East Coast .
O,I was stuck in fucking Utah .
O,So you can imagine how depressing that was .
O,And it was one of those things where I could not stop thinking about him .
O,Yeah .
O,And I started freaking out .
O,"I'm like , no , no , no , this is my husband ."
O,"He doesn't know yet , but I really think this could be the one ."
O,Love in my whole life .
O,Then you know your life .
O,"He's like , well , no , he felt it , too ."
O,Right .
O,"Right , right ."
O,Okay .
O,"No , of course ."
O,"So anyway , so in the beginning , when he flew back , we were texting ."
O,OK .
O,And then obviously we stopped .
O,Yes .
O,And then what happened was a couple months would go by and then I would slide in .
O,Or he would slide in .
O,And every time it was like we picked up right where we left off .
O,You .
O,OK .
O,You .
O,Stifel .
O,"And the thing is , is that I did not see him for the next I think it was year , maybe two years ."
O,"And he slid in one day and was like , hey , you're coming here to come visit me ."
O,I'm buying you a plane ticket .
O,I hopped on a plane and went and spent the weekend with him .
O,That is so .
O,That's what I'm saying is we would only talk every few months .
O,Yeah .
O,I did not see him in person for a year to two years .
O,And we still like rekindled that old flame .
O,That's so brilliant .
O,You a little quarantine bitches complaining about a few months .
O,Get lives .
O,Get out .
O,"That's such a good fucking point , Sophia ."
O,Yeah .
O,So you lived it .
O,You breathed it .
O,And there can be a fucking month .
O,There can be two months .
O,Yeah .
O,They like you .
O,You're gonna be fine .
O,I can slide the fuck back in .
O,"And that I think I want to highlight because I think specifically during this time the alternative to disappearing four bits of time , it doesn't have to be as dramatic as you was is talking to them every fucking day with nothing substantial to say ."
O,OK .
O,What I've been noticing is right now every single day is Groundhog Day .
O,"Oh , it's so hard every single day ."
O,I can't stand to fucking look at your face .
O,You look the same every day .
O,We literally know when it's true .
O,"Guys , it's like you're doing the same shit over and over right now ."
O,And I can guarantee you motherfuckers that if you don't talk to these people for a month and then you pop the fuck back in and you ask them the same question that you asked them a month before .
O,"Hey , what's up ?"
O,They're gonna give you the same fucking answer .
O,They're sitting on the same couch cushion right in the same bag of fucking Doritos .
O,Why the same goddamn Netflix show ?
O,"Yeah , they're not going anywhere ."
O,So you forcing dumb conversation every day .
O,Every day .
O,It's it's dumb .
O,It's diluting the relationship .
O,Diluting the relationship .
O,That's what it is .
O,I'm dealing with this right now .
O,Can you know it's hard .
O,"It's I mean , I know you're dealing with it because we're dealing with ."
O,Yes .
O,So I'm dealing with this right now .
O,I am talking to this guy from L.A. and I don't really think I've talked about him on the pod cheeses .
O,How do you keep track ?
O,No .
O,"And this guy , Canadian guy , California guy ."
O,"Oh , my guy ."
O,I know .
O,We bought an L.A. guy .
O,I know .
O,"So I have to say , I'm crushing on him hard ."
O,I .
O,He's like d I think my ideal man .
O,Yeah .
O,"I've already talked to you about this when we were drunk from the physical aspect to the personality , like he really is the full package and we're really vibing ."
O,And so I began talking to this guy and we were at that point where the next step was for me to get on a plane and go see him .
O,Yeah .
O,You were about to buy a ticket excuse .
O,He was about to buy ticket and then quarantine hit .
O,Right .
O,So everything kind of got fucked up .
O,And now where I'm at right now in quarantine is I'm just trying to figure out how to balance talking with him and then not overdoing it .
O,So .
O,Right .
O,I want to kind of share my technique that Sofia and I have created for this issue .
O,But it's working .
O,It's working .
O,So I am doing the pop in and pop out every few days .
O,"techni , OK ."
O,I like that .
O,"So but only when I do pop in , I'm sending something of substance that's interesting and that warrants conversation ."
O,I'm not just texting this motherfucker .
O,"Hey , what's up every morning ?"
O,"Hey , I'm so glad you brought that up because listen , if you are a bad texter , I really need you to like look in word and realize that about yourself ."
O,"And if you are a bad texter , then you absolutely need to be ."
O,Go .
O,Yeah .
O,You need to be using this little disappearing cage totally .
O,Yeah .
O,"And actually , even if he is a bad texter , you should ghost ."
O,"This is the thing is that generic conversations , you're going to end up shooting yourself in the foot and it really does take two to fucking tango ."
O,Right .
O,You guys both need to be interesting because that's a thing .
O,And it's not like he doesn't like you or you don't like him if you're a bad texter .
O,There are people that are so good impression and say shitty text .
O,"Maybe texting isn't his strong suit , but he's like a fucking animal in the sack ."
O,"Yeah , great ."
O,"But either way , just disappear ."
O,Disappearing is better than having stupid conversation .
O,I agree .
O,And and I want to give you guys like concrete examples .
O,"So what I was saying was when I do decide to slide in every few days , what I'm doing is I'm coming in with entertaining shit ."
O,"And what I mean by that is , for example , the other week Sophia and I were playing Scrabble ."
O,I remember it fun .
O,"And you and I had spelt out the words like sluts lie , sex , you know , classical or ."
O,Yeah .
O,To call her daddy scrabble board .
O,And so we were laughing our asses off .
O,We were having fun .
O,And so what I did is I took a picture of the board and those words and I came up with a funny joke and I sent it to him .
O,And that was the joke .
O,I kind of forget .
O,And then he ended up sending me back a picture of what he was doing .
O,"And it was a great read , vexation ."
O,I'm pretty sure that you sent that picture with the joke to multiple men in your phonebook .
O,Right ?
O,"I remember I did do that , but I think that's more so ."
O,It just saved the brain power .
O,There's only so much content that could go around these days .
O,You got it .
O,You got to maximize it .
O,"Ultimately , having people write , copy and paste that shit ."
O,Don't waste energy .
O,"That's another tip , right ?"
O,"Do make sure , however , to talk about what you guys are going to do when this whole quarantine is over ."
O,A good one .
O,"Just so that you're like putting that out into the universe and like you don't to be detailed , you can say something simple like , oh , my gosh , like when this is over , we better go for a walk on the water like Jesus walk across an order ."
O,You never want him to talk to you again .
O,"You can say , oh , I'm really go ahead and say , no , we're going to try it again ."
O,Okay .
O,You you guys can come up with something better .
O,"But you got my bowling alley , babe ."
O,You got my point .
O,"Yeah , I think that that is specifically smart in quarantine ."
O,"If you have one conversation about that , it allows you then almost even more leeway once you do kind of disappear and fall back a little bit from right them because it's like you let them know you're interested ."
O,Post corn tiang out .
O,"But for right now , I'm not interested in having this conversation ."
O,That is the same every day .
O,"Yes , I know that this is super hard right now because everyone is sitting at home bored ."
O,Yeah .
O,And so I get that .
O,But honestly pick up a fucking hobby instead .
B-AD,You're fucking her pussy .
I-AD,You're fucking her pussy .
I-AD,"You're like don't come , don't come ."
I-AD,Holy fuck it's coming .
I-AD,It's coming out like lob .
I-AD,"You come in her pussy , you come in or you get her pregnant ."
I-AD,You end up with a kid you weren't even expect .
I-AD,And like that's fine .
I-AD,"But the issue is , is that you came in fucking under 30 second right to shit , right ?"
I-AD,"Not with Roman swipes , baby guys clinically proven to make you last longer in bed ."
I-AD,Plus they're effective .
I-AD,Easy to use in fast acting and they don't require a prescription .
I-AD,They also come in discrete unmarked packaging .
I-AD,"So when you whip it out , you swipe it on your dick ."
I-AD,She's not going to know what you're fucking up to .
I-AD,She doesn't know .
I-AD,No one needs to know .
I-AD,Know you and the bedroom and your dick and lasting longer .
I-AD,Yes .
E-AD,"So you guys go to get Rohman dot com slash daddy where you can get your first month of swipes for just five dollars when you choose a monthly plan that's got Rohman dot com slash daddy , OK ."
O,All right .
O,We're moving on .
O,We have a few tips .
O,We're gonna rattle them off .
O,And these are good ask tips for good assholes .
O,For good .
O,Ask people for good .
O,Ask time .
O,"In the good US days , the first tip you got an STV ."
O,"Okay , happens to all of us happens to the best of us ."
O,It really does .
O,"No judgement here cause you know , it really happens to all of us ."
O,So you get a nice TV and you don't want your boyfriend or your girlfriend or the person you're just hooking up with to know that you either a have an TV or B gave it to them .
O,Yes .
O,Incomes .
O,The threesome trick .
O,Everyone let that sink in for two seconds .
O,"Three , some three , some energy tore ."
O,"Oh , my God ."
O,"Oh , we really hit ."
O,"Usually this is where I would say you're all swerving off the road , but no one's on the road ."
O,"No , just swerved off the couch like , whoa ."
O,"Yeah , that's right ."
O,The threesome tip .
O,"Listen , motherfuckers ."
O,This is the thing .
O,And it's beautiful .
O,And we always say it's okay to lie .
O,It's okay to manipulate .
O,"Here on his podcast , that's ."
O,Are you the one in your life getting financed or refinancing people ?
O,Alan called daddy where finessing .
O,"So what you're gonna do is all of a sudden when you find out you have that SCD , you're gonna go , babe ."
O,"Something just came over me , Yeah , we got to have a threesome ."
O,I want a threesome and I want it now and I want it tonight .
O,Yep .
O,Because God forbid you go and fuck him .
O,And then he fucking goes and gets tested for some reason .
O,Right .
O,He has chlamydia .
O,"It's on you , babe ."
O,It's all when you bring that third in .
O,"What happens , Sophia ?"
O,"Oh , you got to blame ."
O,All right .
O,That's it .
O,He's on that third party that you invited in .
O,So fucked up .
O,This is the thing .
O,"People are like , this is so over the top ."
O,"I mean , call her daddy ."
O,"Like , real it back in ."
O,But let me phrase it this way .
O,"You decided to do a little cheat , scoot and boogie and you cheated on your boyfriend ."
O,No .
O,Please listen .
O,"She's cute , mook ."
O,And you cheated on your boyfriend and you got the clap .
O,"What's worse , you having a little threesome with your boyfriend and then blaming it on the home or you having to go to your boyfriend and say , hey , I cheated on you and I gave you an nice TV either ."
O,Go ahead .
O,As a threesome up in this bed .
O,Up in this bitch .
O,And this is the beauty .
O,"I can see people being like , but I don't want to normalize threesomes ."
O,I don't want him to think I'm going to do that all time .
O,That's fine .
O,This is a perfect in and out move right here .
O,You through losing it .
O,"You throw the pussy , you got the three sub and you throw the two pussies at em ."
O,"And then once you guys that she gave you guys both in SCD , you say we're never having a threesome again ."
O,Fuck that .
O,Fuck this river mine .
O,That was too risk .
O,Yeah .
O,Back to the two of us .
O,"Lock the door , guy ."
O,"No one's ever allowed back in , guys ."
O,You can back off Januarys .
O,"Yeah , but what you can say , like you backpedal after he finds out that you gave him fucking chlamydia ."
O,No .
O,All right .
O,There's a couple things with it .
O,OK .
O,Yes .
O,So if it's a very serious us TDE like a life .
O,Yeah .
O,If you're fucking with like HIV .
O,"This I'm going to go ahead and say absolutely not , don't you ?"
O,This is shit you can solve with like a pill pillinger .
O,Yeah .
O,The minor SCD .
O,Yeah .
O,Second thing .
O,Some of you might have to do a threesome that night .
O,Okay .
O,"You see you've been holding out sex for two weeks cause you're like , my god , I am about to give him HPV or whatever it is I ."
O,Right .
O,Right .
O,So you have to hire an escort .
O,Yeah .
