B-AD,"This episode is brought to you by business schooled , a podcast by Synchrony Back for its second season ."
O,They're the same person .
O,They're exactly the same .
O,"I mean , he tried to make it look as different as possible because of the quote unquote Paul photo is sort of like dimly lit ."
O,And it's very like it's a very candid photo .
O,It's just like a cell phone .
O,And he's like he's got like a lot of stubble and he's like sort of like not as politique polished .
O,"And then the Troy photo , quote unquote , tri-faith is like very it's like a headshot ."
O,It's got glam .
O,It's got that sort of like spherical gray thing that they do in the background of like school photos .
O,And it's like he's definitely got makeup on and like but they're not had a strong enough effect on Sunday .
O,"And yes , I in the next nobody be like , did you get a haircut ?"
O,"Yeah , it's not different ."
O,Up for the .
O,Did you get Erica .
O,Exactly .
O,Because they didn't have the same Erica .
O,"And then he makes another post or he says , hey , it's Paul Zimmer ."
O,This is probably going to be my last social post ever .
O,I just come to replace my life for being in the spotlight .
O,"And being entertainer is no in my passion , although it deeply saddens me to leave so bluntly , especially that so many of you have watched me for so many years ."
O,I didn't want my social media pages just sitting to die .
O,So I've decided to give my social media accounts to try Bekker .
O,I don't know why you guys a lot of subtle .
O,This was in October .
O,"Yeah , because he's one of the Dobis people I know ."
O,"And he's literally my younger twin , my much younger twin ."
O,I believe Troy's fifteen or sixteen years old .
O,Ha ha ha .
O,So this is a 24 year old man training of his people .
O,He's a 16 year old boy .
O,There is a certain kind of like .
O,"There's a certain kind of Internet scam where , like , it's so brazen that , like , I really , really there isn't ."
O,I feel like there was this heavy metal musician who was like doing a solo tour across Europe .
O,And basically I feel like I made a bunch of fake accounts and like made up a fake agent .
O,There was like this very you convince people that he was in a real band ?
O,"Yeah , it had tons of listeners ."
O,And then he would show up at these dates and had like a face like a fake like fanny councillor's stuff .
O,And he would get himself booked a new job at venues and nobody would show up because his band didn't actually have any fans .
O,"Like it was just him and some musicians we'd hired who didn't realize , like what he was actually up to ."
O,Right .
O,It is that level of audacity .
O,Like it just there's some people who really shoot the moon .
O,"They're just like , you know what ?"
O,I'm going to figure it out when I get there .
O,"And like , that's what this guy do ."
O,"You guys want to meet Troy Becker , your interaction video ."
O,Yes .
O,"Hey , what's up ?"
O,My name's Troy Becker .
O,I'm an actor .
O,"Cause him I reached out to me and asked to record a video because he says he really , really looks like me ."
O,And he wanted to post it onto something called Tick-Tock .
O,So please wait .
O,He's 15 or 16 .
O,Yeah .
O,It's October of twenty nineteen .
O,And he doesn't know what Tick-Tock is .
O,He doesn't know .
O,He knows .
O,There's also a lot because where it'll be like it'll be like Paulsboro .
O,So he really looks like .
O,"But I don't , I don't really see it ."
O,I .
O,Wow .
O,So everyone notices .
O,Like everyone else .
O,"Yeah , yeah ."
O,We're a very visual species .
O,I love that he made the plot problem of every of everything from like Shakespeare to Superman to Three's Company .
O,"The fact that you that you can easily disguise yourself , we didn't really do ."
O,You can't do .
O,He took that problem and made it his likes .
O,That was his plan .
O,Yes .
O,"The other one is they are the scam is that I kind of fell for a version of this like in my lifetime , which is when I was like a kid ."
O,"I think extremely , extremely gullible child making like really , really the most like what I am at camp ."
O,A bunch of kids sobbing .
O,There's a rumor going around that I wear diapers to camp and I could distribute as I pull my pants in front of everybody .
O,I'm super simple as I .
O,"Yes , you to pay that ."
O,But what I was like 10 .
O,"My my aunt , my cousin moved to Philly and they like stayed with us for a while with their get on their feet and my cousin just like loves to tell me elaborate lies because I believed every single one of them ."
O,Right .
O,"And one day he came downstairs and was like , hey , how's it going ?"
O,"And I said to him , he's like , that's my name ."
O,"I was like , What ?"
O,Why ?
O,"He's like , my name's Jack the Bulldog ."
O,"And he told me that he was a man named Jack the Bulldog who looked exactly my cousin , but it flushed my cousin down the drain and only difference to my cousin ."
O,And Jack was that Jack talked to artificially gravelly voice and he wore sunglasses all the time .
O,"And I was like , but those are my sunglasses ."
O,"You really would have benefited from having an older sibling , but you were like ."
O,But I guess it's true .
O,I guess it's true .
O,"You know , I totally thought I thought that a murderer lived in my house and then I couldn't tell anybody ."
O,How old ?
O,How old are you ?
O,Ten .
O,"Oh , my two ."
O,That is so funny .
O,But you know what ?
O,"My son , who's nine and a half , would totally be the same way ."
O,Like Ellia .
O,I think there's something about him .
O,It's funny because I think you've overcompensated and now you're like shifty and skeptical .
O,But probably there's something about Leg. when you're young and you and you have no instinct towards guile at all .
O,Like my son .
O,It's baffling .
O,Like why anybody would ever do that .
O,Yeah .
O,And I wonder if you were that kind of kid .
O,"Also , it's just like if you love stories , you'll believe bullshit stories for a long time ."
O,And then .
O,Huh ?
O,"When you realize you'll make up bullshit surge of like , oh well that seems fun too ."
O,Yeah .
O,I convinced my next door neighbor that there was a boy living in the walls of her house .
O,So really when I was a kid I was probably couldn't have been older than nine because I moved when I was nine .
O,But I think the only two kinds of kids are liars .
O,And jump .
O,No .
O,"Yeah , totally ."
O,I get divorce Zimmer .
O,"So basically , as soon as he posted that second , quote unquote , Troy Becker post , everybody just started making fun of Mike ."
O,"So , OK , so so okay ."
O,"So , so , so pieces that go unnoticed are the uncanny resemblance ."
O,"Every single time he tries to post anything as Trey , all these fans show up just like thousands of comments , every single comment either being like , dude , somebody was like , what was it like ?"
O,You are you're like the CEO pretending to be somebody else ?
O,Or the other thing they'll do is they'll be like they'll just quote back .
O,Paul Zimmer lines for the big man tree .
O,"You really look a lot like Paul Zimmer , like a younger , sexier suit , like do you work remotely ?"
O,And I don't know how it's supposed to work in his head .
O,"Like , I don't know what ."
O,I don't know what the plan even was .
O,"Oh , I thought the plan was like I will just be able to carry on ."
O,He wanted collecting money from the Internet .
O,"He writes , I'm new process ."
O,He wanted to do Whitman Don Draper scenario where he was going to take over that his life .
O,And just like he would have all of that person to accolades and needs and desires and be able to exploit their platform to get more money .
O,Right .
O,He no longer has the baggage .
O,It's a rebrand is it no longer has the baggage of having not fulfilled all of those things that he got paid for .
O,"Companies get to do it all the time , like , hey , we're not cigarette that company anymore ."
O,We're fresh air company cigarettes .
O,We're not Blackwater .
O,"We're X E , right ."
O,There was G.E. Financial that became Ally Bank .
O,I thought Bank was a new bank .
O,No bank was a that was the rebrand .
O,They did a good job .
O,They were one of the most bailed out banks of the of the financial crisis .
O,Really ?
O,Ally Bank is .
O,"No , it sounds a friendly way ."
O,"Your allies , like one kind of idiot would fall for this thing ."
O,But also the re-brand is like a wonder .
O,"I was like , I've never ."
O,"Rosebank , why do they buy so much advertising on NPR ?"
O,"Yes , exac also the rebrands , like visually , it's like purple ."
O,It's got like this sort of like modernly look to it .
O,It's really not a younger version .
O,"They're like a younger , sexier version of financial ."
O,Now as G .
O,Wait no .
O,And take it is a G G M .
O,Yeah .
O,"Ally Bank was like the GMAC , which was the financial arm of GM ."
O,General Motors .
O,Yeah .
O,Yeah .
O,So in Troy beggers case he was I think he was just trying to like just smile through all this .
O,And then this journalist for the New Statesman wrote like a huge piece as a reason I know about this .
O,"And after that , he shut down everything like Troy Becker seems to have disappeared as thoroughly as Paul Zimmer did before him ."
O,Got it .
O,"I mean , Tribe had until Troy Becker notices that there is a musician who looks like he was a little bit younger and sexier and his eyes are the goodness of his heart ."
O,Dan Ever's accounts .
O,That's amazing .
O,"al-Islamiya , do you want to try to go back and explain history to us ?"
O,"Yes , I do ."
O,"OK , so this tweet ."
O,The tweet again .
O,Dave Jorgensen tweeted this .
O,The Teen Vogue article .
O,He's gonna come back as Troy Becker .
O,OK .
O,"So the idea is basically there was an article posted on Teen Vogue that looks suspiciously like sponsored content , they took it down and it was caused a little bit of a brouhaha ."
O,That's the Teen Vogue part .
O,And then there is this .
O,"The Troy part is there was this Tick-Tock Star named Paul Zimmer , who made a bunch promises that he didn't deliver on his fans , got really , really mad at him ."
O,"He disappeared , then came back months later , years later , years later , you're here years later ."
O,It took him years to hatched this plan .
O,Anyway .
O,"And then it came back years later saying like , I found this guy who looks a lot like makes up ."
O,He's just younger and handsomer and he's gonna take over my account .
O,See you guys later .
O,And then then the new guy was named Troy Becker .
O,The new guy Haircuts .
O,New guy was named Troy Becker .
O,"And then he looked exactly like the old guy , Paul Zimmer ."
O,"And everybody on the Internet noticed and and was like , you're the same person ."
O,Yes .
O,"Ah , yes , yes , yes ."
O,"Yes , I understand ."
O,I also understand 100 percent .
O,All right .
O,I think .
O,Right .
O,Yes .
O,"Yes , yes ."
O,Coming up after the break .
O,"Yes , it's now ."
B-AD,"This episode is brought to you by Business Schooled , a podcast by Synchrony Synchrony supports people and businesses with financial and technology solutions to help them grow business schooled is back for a second season with a whole new business puzzle to solve ."
I-AD,How can you help your business leap past the early rocky stages into an entirely new phase of growth ?
I-AD,We'll hear from companies that aren't just surviving their thriving new host and startup whiz .
I-AD,"Soraya Dabi is traveling all over the country , meeting with eight entrepreneurs to uncover what's helping them go the distance ."
E-AD,"New season , new host , new things to learn on season two of business schools , a podcast by syncretic download and subscribe wherever you get your podcasts ."
O,"Alex , you have another tweet for us ."
O,I do have another tweet .
O,It's from a Twitter user named John Cardillo .
O,And the tweet goes like this .
O,Hashtag moves like Bloomberg Gate whistleblower at Nick cheerily deserves our support .
O,Parentheses best controversy I've seen in a while .
O,And parentheses .
O,Hashtag moves like Bloomberg .
O,"Hashtag drop out , Bloomberg ."
O,Do you feel implicated by this ?
O,Two different spelling of Bloomberg .
O,I think it's got a bunch of RYTARY .
O,It's a bunch of legs .
O,"And I'm you know , I don't know what's going on here ."
O,So PJ Vogt changed in the street .
O,I do .
O,"Alex Bloomberg , do understand the street ?"
O,No .
O,I was on .
O,Do you understand me ?
O,I do .
O,All right .
O,We're back .
O,Was supposed to be OK .
O,"I think it starts with P , but adjudge , right ?"
O,Yeah .
O,"Well , yeah ."
O,Do you know about the mayor ?
O,"Pete , dance the mayor ."
O,"Pete , dance ."
O,Yeah .
O,You know about Pete .
O,Bhuta Judge Ray .
O,I know Pete .
O,The Mayor .
O,Mayor Pete .
O,I did not know he had a dance though .
O,"Oh , he does ."
O,"Oh , okay ."
O,Right .
O,And I do it .
O,It's like it's like this .
O,"Wait , can you put on the song Hi-Ho ."
O,Yeah .
O,Okay .
O,So the desert's the better get the disco song .
O,Hi oves .
O,Which I'd never heard before .
O,The Mayor paedo .
O,Yeah I know .
O,I know this because my kids like it .
O,Well I have high hopes for them .
O,So just so you know like this is a thing that the mayor Pete campaign thought would be like a great motivator for Mayor Pete .
O,Campaign volunteers .
O,Yeah .
O,"Like when they're like out in the field , they're feeling bored or like need to get like fired up before a meeting ."
O,Like they play this song and they do the dance .
O,"Alex is about to do for you know , I do dance fully ."
O,"Oh , I've watched the videos of this show ."
O,Many ways to take a line dance .
O,It's like it's like a ladder thing .
O,It's a dance that's simple enough that you can pick it up .
O,I would call it a SUBJ Macarena .
O,Macarena .
O,Okay .
O,Okay .
O,Okay .
O,Okay .
O,I've got a panic at the disco .
O,"Can I just preface by saying that like my mom , her entire life has done a dance that is specifically designed to embarrass me in public ."
O,And it is remarkably close to Mayor Dance .
O,Okay .
O,You're gonna do it .
O,Bloomberg can describe what's happening .
O,All right .
O,All right .
O,"In one , two , three ."
O,Showtime .
O,"So it's just like , oh , my ."
O,"So it's just like it's just like in a quarter , the hands move in the four quadrants ."
O,Hi .
O,Hi .
O,Lo lo .
O,"And they do sometimes they point , sometimes they do the like ."
O,We're moving wheely motion .
O,Sometimes they clap .
O,It's just like you're just gonna push your .
O,Hi .
O,Hi .
O,Hi .
O,Hi .
O,"Down , down , down , down , up , right up ."
O,Right .
O,Like YMCA a little bit .
O,It's like y._m._c._a .
O,Yeah .
O,There are videos of of Mayor Pete Fowler .
O,Here's a great big line .
O,"Jay , check rebuildable ."
O,Do it .
O,Hold on .
O,This is them .
O,This is I'm doing it at lunchbreak at the hashtag Pete Summit .
O,And just like a drab hotel conference room .
O,"Oh , my God ."
O,"Oh , my God , everybody ."
O,"It's like literally like just like a picture of the drab EST conference room with like this chairs and the pope , the raised podium and leg ."
O,Lanyards and all the people sitting there .
O,And then all of a sudden they're standing up and doing this dance .
O,It looks like an ass .
O,Why does it looks really creepy ?
O,It looks like when I took Calvin did the best one game and they said that the cheerleaders come out into their routines .
O,"He was looking at and he was just like , daddy ."
O,It's pleasing to the eye to see people doing the same thing all at the same time .
O,"I was like , yeah , you nailed that ."
O,But it is pleasing in some situations .
O,But then it's also creepy in some situations .
O,"And so like that and like North Korea and political rallies , it's like really creepy ."
O,"You see people doing the same , people doing the same thing in unison ."
O,It feels like forced fun .
O,Yeah .
O,I wonder what the political calculus of that kind of thing is .
O,It feels to me a little bit like there's so much grassroots support to this that everybody knows that they can spontaneously break out into it into a choreographed dance .
O,"I was listening pod's in America and they were talking about it and they were like , it was funny because I think they're trying not to side with any of the Democratic candidates in the primary season ."
O,"They're like , we're not trying ."
O,Is anything bad about me ?
O,Repeat .
O,The dance is really nerdy .
O,"And then one day it was like , well , if you've ever , like , doorknocked or like , done grassroots stuff , it's just really , really boring and soul sucking ."
O,"It's like anything you can do to just like , here's the fun thing we do ."
O,Like you're just consciously trying to make people more energetic .
O,"And Sukhi side is just like that , that it's not it's not for Twitter ."
O,"You know , they're putting it on Twitter , but it's like just like a rah rah rah ."
O,Let's go get them .
O,"I don't know , man ."
O,"If I were doing that , I just wouldn't let it end up on the Internet ."
O,But I also like I'm coming across snarkier about this .
O,And I want to actually .
O,"Because , like , I'm glad that there's people dancing that conversation ."
O,Yeah .
O,So but people made fun of this .
O,"And I think also part the reason people made fun of this is like Mayor P , he he doesn't do well on Twitter , like the world of Twitter ."
O,At least the Twitter that I see is like conservatives who obviously aren't going like a Democratic presidential candidate .
O,"But then people , if they're on the left , they shouldn't be like far on the left right ."
O,And he's kind of seen as like individually progressive and .
O,"Seer and dweeby Ray entered the dweeby dance kind of plays into that , right ?"
O,"And so people were like , there are lots of videos of people just doing the dance , but they were like they were pretending that they thought it was cool , but they didn't think it was cool ."
O,Right .
O,There is a lot of people doing the dances like different songs .
O,"And it's just sort of funny under any song , but it works under almost any song ."
O,But it was it was like a cycle .
O,It was like I think they started posting the dancing in September and like it felt like September through the winter .
O,There was a lot of making fun of this .
O,Okay .
O,And then Michael Bloomberg enters the presidential race .
O,"No relation , no relation ."
O,Different spelling .
O,"And he is kind of disliked , actually , in a similar way to me ."
O,"Repeat , unlike progressive Twitter ."
O,"You know , he's a billionaire ."
O,"He was really into sobhan , frankly ."
O,It's like this is not this is not who a lot of people want .
O,"So this is meeting next rally pose the following tweet , a tweet that has two thousand seven hundred forty one retweets ."
O,Look out .
O,Hashtag team Pete .
O,Because us Bloomberg heads have our own dance taken at the Mike Bloomberg rally in Beverly Hills .
O,Hashtag Bloomberg 20:20 hashtag moves like Bloomberg .
O,"One important thing to note for you see this video is that at the time you made a tweet , he had changed his Twitter avatar to look like a young political aide ."
O,And she just Twitter bio to say they worked for the Bloomberg .
O,Hmm .
O,So I tweeted this out .
O,Okay .
O,You ready ?
O,Yeah .
O,You want to her using a hose like it looks like it looks like sort of like a studio audience .
O,"Like when they like pan the camera and you're looking at it , it's like a bunch of people and sort of a narrower , darker room ."
O,It's not like a conference room area .
O,"Their on bleachers , grand bleachers like , yeah , they're on bleachers in a smaller room ."
O,There's a whole bunch of them and they're like the songs playing and the first move and it's like the same thing .
O,It's like move to the right .
O,Move to the left .
O,Down low .
O,Down low .
O,Up high .
O,Up high .
O,Same sort of like it's the same sort of thing .
O,Except they said what they're doing is they're like sort of like doing this finger-wagging thing with disco points .
O,"It's like a disco point , but it also seems like a shame , shame , shame , shame ."
O,With this finger is just like you and you and you and you and you and a sort of a finger-wagging way .
O,Yeah .
O,And then at the end they do their thing where you pretend to go underwater .
O,"Can I just can I just say that when I first saw this , I was completely taken in ."
O,"And I went into the group chat and I mean , it was like , guys , you will not believe this and posted it ."
O,"And they were like , yeah , but it's a joke ."
O,"And I was like , oh , I'm an idiot ."
O,I would .
O,The only reason involved or it honestly is because the place where they recorded it is outrageous .
O,"Brigade , L.A. Theater ."
O,And I've been there .
O,"Ray , I just recognize the room ."
O,It was fully on that uncanny valley satire line .
O,"The other thing that sort of makes it convincing is that the demographics of the people at this comedy show , which are like young , pretty male , pretty white , looks like how you would imagine people working the Bloomberg campaign ."
O,"But everybody everybody everybody fell for it like , oh , really ?"
O,Everybody fell for it like guy .
O,"Besides , household men are just like all these journalists and writers who work on the Internet and are good at reading the Internet like geat here ."
O,Hunter Walker just had a quote .
O,Bloomberg heads because they were for themselves .
O,Bloomberg heads in Beverly Hills .
O,"Even Maggie Haberman tweeted she put a question mark on it , but she tweeted it ."
O,Huh .
O,It's just like everybody why they fell for everybody over .
O,But so the next thing that happened .
O,"Okay , Team Bloomberg campaign has to do something ."
O,Yes .
O,And they try to do something .
O,And like a good spirited we're not mad way .
O,So they tweet to clarify at nixa Rally is not an intern for our campaign .
O,And he does not have moves like Bloomberg .
O,"Nick , apply to work for us here ."
O,And then there's a link to where you work for the campaign .
O,Got it .
O,Fine .
O,And then Nick does all Nick does an incredible just like a tiny bit of world building .
O,Yes .
O,You remember that so much better .
O,"I don't , he says ."
O,"Wait , are you firing me ?"
O,"Oh , yeah ."
O,"So then Nick tweets , As a creator of hashtag moves like Bloomberg , I disavow it ."
O,And the Mike Bloomberg presidential campaign read the truth about the dance here .
O,Hashtag drop-out Bloomberg .
O,"And then there's a tweet where he says , I plenty more to share , but what people are saying is true ."
O,The moves like Bloomberg dances orchestrated and drive by Bloomberg .
O,And then he has a note like a fake email that says Budget to pay dancing actors .
O,"Hey , Nick , I've just received approval from on high for you to hire 50 to 60 actors to pose as supporters during the moves like Bloomberg Dancing choreographed ."
O,We want to create the impression that enthusiastic young people are excited about Mike .
O,They came up with the infectious dance spontaneously .
O,We've walked out eight hours to rehearse with actors next week and we can allot $20 an actor .
O,They must all sign .
O,NDA is also unrelated .
O,We are discontinuing your gas stipend .
O,Part of the all round crunch that's been happening .
O,"Brad Evans , social media coordinator , Bloomberg ."
O,"OK , so like I think at this point , like most journalists realize they controlled except for the right , like Bright Bart writes a story about their like the Bloomberg campaign made the super embarrassing video and then they fired the guy who made it ."
O,"My God , there's certain causes like alright Internet that love the idea that they like ."
O,"Often whenever there's signs of like progressive grassroots support , they're like they're paid their crisis actors , whatever ."
O,And it's just like so served right at their existing beliefs .
O,So CBB Goroka tweets apparently not a parody .
O,Donald Trump junior favorites the tweet with the like crisis. act or email on it .
O,"So , OK , so that's the fall ."
O,That's like the all troll of it .
O,OK .
O,"John Cardillo , who did the tweet ."
O,"He's he's sort of like a fixture on conservative , unlike ."
O,"Alright , Internet ."
O,He's just used to being NYPD .
O,"She talks like constantly and he's kind of famous for is in response to this , like protests in the city ."
O,"He posted a picture himself on Twitter pointing a gun at the camera , essentially threatening any protesters who came near him ."
O,Got it .
O,OK .
O,Charmer .
O,"He was one of the , I think , early wave ."
O,People like get the point .
O,He's tweeting about this .
O,He believes that the Bloomberg team has fired their crisis actors and their crisis actors are falling .
O,So the John Cardillo tweet is he's in the midst of this is during the action .
O,And he believes that the moves like Bloomberg thing is real .
O,Yes .
O,And that's the drop out Bloomberg thing is right .
O,"I mean , it's like what would be more fun than somebody you politically disagree with being so unpopular that they hired actors to pretend to support them ."
O,But then we're so cheap that they didn't pay the actors enough .
O,And the thing backfires .
O,And the actors are like going public because they don't care about 20 bucks an hour and telling everybody what happened .
O,Right .
O,It's like a very enjoyable fiction .
O,That would be .
O,Yes .
O,"Yes , that would be ."
O,Got it .
O,I think we .
O,Right .
O,"Yes , yes ."
O,Yes .
O,So .
O,All right .
O,"So the street again , hashtag moves like Bloomberg Gate whistleblower at Nick thoroughly deserves our support ."
O,Parentheses best controversy I've seen in a while .
O,Hashtag moves like Bloomberg .
O,Hashtag drop out Bloomberg .
O,"I now know that this tweet is not a joke , but a sincere expression of feeling on Twitter by this guy , John Cardillo , who is a conservative right wing person who's rooting against the Democrats generally and rooting against Mayor Bloomberg in this particular instance , because he believes this controversy that this guy ginned up about Mike Bloomberg and his awkward dance ."
O,But it was just a joke .
O,Right .
O,They were .
O,Yes .
O,Yes .
O,"Yes , we are ."
O,Yeah .
O,"Well , I think ."
O,Mario .
O,OK .
O,"Alex , if what you want to dance us out ."
O,No comedy ?
O,No .
O,What I'll do with you .
O,A fire song you might like .
O,"Oh , yeah ."
O,If you care about the music .
O,Wow .
O,It moves also .
O,This is a synthesizer song that Alex Coleman wrote .
O,"Yeah , I made this song ."
O,Wonderful .
O,"Profiles hosted by me , PJ Vote and Alex Goldman were produced by Truthy Opinion in Any Fear BNN , Damiano , Marchetti and Foley , Jessica Yang and Emmanuel Joshi , our executive producers ."
O,"Tim Howard remixed by Rick Klein , Fact Checking by Michelle Harris ."
O,Our intern is Rachael Kohn .
O,One final announcement next Tuesday .
O,We are going to be taking phone calls again .
O,"If you have a technical problem that you would like solved or a technical question you would like answered , give us a call ."
O,The phone number is 8 6 2 3 6 7 9 3 5 6 .
O,We're gonna be there from 2:00 to 4:00 p.m. Eastern time .
O,"The theme song to our show is by mysterious brake master cylinder , our add music as I Build Buildings ."
O,Matt Lever is a part of the year where the days finally start getting longer again .
O,He was in the show on Spotify or ever .
O,You get your podcasts .
O,Thanks for listening .
